# 有 .txt 地磚檔但無 mapids.sql 定義的地圖 ID
# 這些地圖缺少 start_x/start_y 原點座標

517  (寬=192, 高=192)
519  (寬=128, 高=256)
520  (寬=128, 高=256)
527  (寬=384, 高=192)
529  (寬=128, 高=128)
540  (寬=256, 高=256)
574  (寬=128, 高=128)
1706  (寬=128, 高=64)
2403  (寬=192, 高=192)
2404  (寬=192, 高=192)
2405  (寬=192, 高=192)
2407  (寬=192, 高=192)
2408  (寬=192, 高=192)
2409  (寬=192, 高=192)
2410  (寬=192, 高=192)
3001  (寬=256, 高=256)
3002  (寬=256, 高=256)
3003  (寬=256, 高=256)
3004  (寬=256, 高=256)
3005  (寬=256, 高=256)
3006  (寬=192, 高=192)
3007  (寬=192, 高=192)
3008  (寬=192, 高=192)
3009  (寬=192, 高=192)
3100  (寬=192, 高=192)
3200  (寬=192, 高=192)
3320  (寬=192, 高=192)
3321  (寬=192, 高=192)
3322  (寬=192, 高=192)
3323  (寬=192, 高=192)
3324  (寬=192, 高=192)
3325  (寬=192, 高=192)
3326  (寬=192, 高=192)
3327  (寬=192, 高=192)
3328  (寬=192, 高=192)
3329  (寬=192, 高=192)
3330  (寬=256, 高=256)
5702  (寬=320, 高=192)
5703  (寬=320, 高=320)
5704  (寬=384, 高=384)
5705  (寬=320, 高=320)
5706  (寬=320, 高=320)
5806  (寬=320, 高=320)
5807  (寬=320, 高=320)
5808  (寬=320, 高=320)
5809  (寬=320, 高=320)
5810  (寬=320, 高=320)
7003  (寬=256, 高=256)
7004  (寬=256, 高=256)
7005  (寬=256, 高=256)
7006  (寬=256, 高=256)
7007  (寬=192, 高=192)
7008  (寬=192, 高=192)
7009  (寬=192, 高=192)
7010  (寬=192, 高=192)
7011  (寬=192, 高=192)
7051  (寬=320, 高=320)
7052  (寬=320, 高=320)
7053  (寬=320, 高=320)
7054  (寬=320, 高=320)
7055  (寬=320, 高=320)
7057  (寬=128, 高=192)
7101  (寬=192, 高=192)
7102  (寬=192, 高=192)
7103  (寬=192, 高=192)
7104  (寬=192, 高=192)
7105  (寬=192, 高=192)
7106  (寬=128, 高=64)
7107  (寬=192, 高=192)
7108  (寬=192, 高=192)
7109  (寬=192, 高=192)
7110  (寬=192, 高=192)
7111  (寬=192, 高=192)
7112  (寬=192, 高=192)
7113  (寬=192, 高=192)
7114  (寬=192, 高=192)
7115  (寬=192, 高=192)
7116  (寬=128, 高=64)
7117  (寬=192, 高=192)
7118  (寬=192, 高=192)
7119  (寬=192, 高=192)
7120  (寬=192, 高=192)
7121  (寬=192, 高=192)
7122  (寬=192, 高=192)
7123  (寬=192, 高=192)
7124  (寬=192, 高=192)
7125  (寬=192, 高=192)
7126  (寬=128, 高=64)
7127  (寬=192, 高=192)
7128  (寬=192, 高=192)
7129  (寬=192, 高=192)
7130  (寬=192, 高=192)
7131  (寬=192, 高=192)
7132  (寬=192, 高=192)
7133  (寬=192, 高=192)
7134  (寬=192, 高=192)
7135  (寬=192, 高=192)
7136  (寬=128, 高=64)
7137  (寬=192, 高=192)
7138  (寬=192, 高=192)
7139  (寬=192, 高=192)
7140  (寬=192, 高=192)
7141  (寬=192, 高=192)
7142  (寬=192, 高=192)
7143  (寬=192, 高=192)
7144  (寬=192, 高=192)
7145  (寬=192, 高=192)
7146  (寬=128, 高=64)
7147  (寬=192, 高=192)
7148  (寬=192, 高=192)
7149  (寬=192, 高=192)
7150  (寬=192, 高=192)
7151  (寬=192, 高=192)
7152  (寬=192, 高=192)
7153  (寬=192, 高=192)
7154  (寬=192, 高=192)
7155  (寬=192, 高=192)
7156  (寬=128, 高=64)
7157  (寬=192, 高=192)
7158  (寬=192, 高=192)
7159  (寬=192, 高=192)
7160  (寬=192, 高=192)
7161  (寬=192, 高=192)
7162  (寬=192, 高=192)
7163  (寬=192, 高=192)
7164  (寬=192, 高=192)
7165  (寬=192, 高=192)
7166  (寬=128, 高=64)
7167  (寬=192, 高=192)
7168  (寬=192, 高=192)
7169  (寬=192, 高=192)
7170  (寬=192, 高=192)
7171  (寬=192, 高=192)
7172  (寬=192, 高=192)
7173  (寬=192, 高=192)
7174  (寬=192, 高=192)
7175  (寬=192, 高=192)
7176  (寬=128, 高=64)
7177  (寬=192, 高=192)
7178  (寬=192, 高=192)
7179  (寬=192, 高=192)
7180  (寬=192, 高=192)
7181  (寬=192, 高=192)
7182  (寬=192, 高=192)
7183  (寬=192, 高=192)
7184  (寬=192, 高=192)
7185  (寬=192, 高=192)
7186  (寬=128, 高=64)
7187  (寬=192, 高=192)
7188  (寬=192, 高=192)
7189  (寬=192, 高=192)
7190  (寬=192, 高=192)
7191  (寬=192, 高=192)
7192  (寬=192, 高=192)
7193  (寬=192, 高=192)
7194  (寬=192, 高=192)
7195  (寬=192, 高=192)
7196  (寬=128, 高=64)
7197  (寬=192, 高=192)
7198  (寬=192, 高=192)
7199  (寬=192, 高=192)
7200  (寬=256, 高=256)
7781  (寬=384, 高=384)
8006  (寬=64, 高=64)
8013  (寬=64, 高=64)
8017  (寬=64, 高=128)
8018  (寬=64, 高=128)
8019  (寬=64, 高=128)
8020  (寬=64, 高=128)
8021  (寬=64, 高=128)
8022  (寬=64, 高=128)
8023  (寬=64, 高=128)
8036  (寬=256, 高=320)
8037  (寬=128, 高=128)
9401  (寬=192, 高=128)
9500  (寬=128, 高=192)
9501  (寬=1856, 高=1536)
9573  (寬=192, 高=192)
9574  (寬=128, 高=128)
12150  (寬=128, 高=192)
12151  (寬=128, 高=128)
12152  (寬=128, 高=192)
12163  (寬=320, 高=256)
12164  (寬=128, 高=192)
12257  (寬=128, 高=192)
12358  (寬=64, 高=64)
12459  (寬=448, 高=448)
12797  (寬=448, 高=448)
12802  (寬=256, 高=256)
13056  (寬=64, 高=64)
13057  (寬=64, 高=64)
13058  (寬=64, 高=64)
13059  (寬=64, 高=128)
15401  (寬=192, 高=192)
15402  (寬=384, 高=192)
